date,times,crime,location,disposition,location_geo
10/3/13,15:50:24,LARCENY/THEFT/SHOPLIFTING,777 ISLE OF CAPRI BLVD,UNKNOWN,777 ISLE OF CAPRI BLVD Waterloo Iowa
10/3/13,17:19:27,BURGLARY,835 DENA ST,REPORT INITIATED,835 DENA ST Waterloo Iowa
10/3/13,17:37:47,ASSAULT,820-1 SOUTH ST,REPORT INITIATED,820-1 SOUTH ST Waterloo Iowa
10/3/13,18:10:12,BURGLARY,404-1 ALLEN ST,REPORT INITIATED,404-1 ALLEN ST Waterloo Iowa
10/3/13,19:15:17,LARCENY IN PROGRESS,1334 FLAMMANG DR,REPORT INITIATED,1334 FLAMMANG DR Waterloo Iowa
10/3/13,19:37:36,LARCENY/THEFT/SHOPLIFTING,1334 FLAMMANG DR,REPORT INITIATED,1334 FLAMMANG DR Waterloo Iowa
10/3/13,20:17:23,LARCENY/THEFT/SHOPLIFTING,223 MADISON ST,REPORT INITIATED,223 MADISON ST Waterloo Iowa
10/4/13,5:25:50,LARCENY/THEFT/SHOPLIFTING,3005-2 CEDAR KNOLL CIR,REPORT INITIATED,3005-2 CEDAR KNOLL CIR Waterloo Iowa
10/4/13,8:27:17,ASSAULT IN PROGRESS/JUST,226 RANDOLPH ST,REPORT INITIATED,226 RANDOLPH ST Waterloo Iowa
10/4/13,9:58:11,BURGLARY,2080 E RIDGEWAY AV,REPORT INITIATED,2080 E RIDGEWAY AV Waterloo Iowa
10/4/13,9:59:56,LARCENY/THEFT/SHOPLIFTING,1050 SOUTHTOWN DR,REPORT INITIATED,1050 SOUTHTOWN DR Waterloo Iowa
10/4/13,11:49:49,LARCENY/THEFT/SHOPLIFTING,1326 LA PORTE RD,REPORT INITIATED,1326 LA PORTE RD Waterloo Iowa
10/4/13,12:41:01,ASSAULT,812 IDAHO ST,REPORT INITIATED,812 IDAHO ST Waterloo Iowa
10/4/13,15:02:13,BURGLARY,2602 W 8TH ST,REPORT INITIATED,2602 W 8TH ST Waterloo Iowa
10/4/13,15:58:33,LARCENY/THEFT/SHOPLIFTING,5050-8 TEXAS ST,ASSISTED,5050-8 TEXAS ST Waterloo Iowa
10/4/13,16:16:19,LARCENY/THEFT/SHOPLIFTING,2181 LOGAN AV,REPORT INITIATED,2181 LOGAN AV Waterloo Iowa
10/4/13,19:21:59,ASSAULT IN PROGRESS/JUST,3243 ANSBOROUGH AV,WARNED & ADVISED,3243 ANSBOROUGH AV Waterloo Iowa
10/4/13,19:40:12,LARCENY/THEFT/SHOPLIFTING,2181 LOGAN AV,REPORT INITIATED,2181 LOGAN AV Waterloo Iowa
10/4/13,20:26:04,ASSAULT IN PROGRESS/JUST,217 PARK VIEW BLVD,WARNED & ADVISED,217 PARK VIEW BLVD Waterloo Iowa
10/5/13,2:22:51,ASSAULT IN PROGRESS/JUST,1681 WOODMAYR DR,REPORT INITIATED,1681 WOODMAYR DR Waterloo Iowa
10/5/13,3:40:06,ASSAULT IN PROGRESS/JUST,2306 IDAHO ST,REPORT INITIATED,2306 IDAHO ST Waterloo Iowa
