date,times,crime,location,disposition,location_geo,lat,long
3/9/13,23:36:36,ASSAULT,200 W 4TH ST,REPORT INITIATED,200 W 4TH ST Waterloo Iowa,42.495076,-92.340777
3/10/13,1:25:30,ASSAULT IN PROGRESS/JUST,2170 LAFAYETTE ST,REPORT INITIATED,2170 LAFAYETTE ST Waterloo Iowa,42.488918,-92.312305
3/10/13,3:01:55,ASSAULT,110 E 11TH ST,REPORT INITIATED,110 E 11TH ST Waterloo Iowa,42.493194,-92.328854
3/10/13,3:20:53,MVA HIT & RUN,1045 W 6TH ST,REPORT INITIATED,1045 W 6TH ST Waterloo Iowa,42.48658,-92.346894
3/10/13,4:31:41,ASSAULT,1822 NEWELL ST,REPORT INITIATED,1822 NEWELL ST Waterloo Iowa,42.512662,-92.304535
3/10/13,11:59:54,BURGLARY,1828 NEWELL ST,REPORT INITIATED,1828 NEWELL ST Waterloo Iowa,42.512664,-92.304313
3/10/13,12:20:18,BURGLARY,2219 RANDOLPH ST,EXTRA ATTENTION,2219 RANDOLPH ST Waterloo Iowa,42.476922,-92.338664
3/10/13,12:55:03,ASSAULT/AMBULANCE REQUESTED,205 UNITY SQUARE DR,REPORT INITIATED,205 UNITY SQUARE DR Waterloo Iowa,42.512088,-92.32216
3/10/13,14:25:52,ASSAULT,617 SYCAMORE ST,REPORT INITIATED,617 SYCAMORE ST Waterloo Iowa,42.497825,-92.335398
3/10/13,15:01:14,ASSAULT IN PROGRESS/JUST,537 COURTLAND ST,REPORT INITIATED,537 COURTLAND ST Waterloo Iowa,42.497629,-92.321045
3/11/13,0:34:15,MVA HIT & RUN,2000-BLK E DONALD ST,REPORT INITIATED,2000-BLK E DONALD ST Waterloo Iowa,42.527046,-92.296428
3/11/13,14:23:09,ASSAULT,425 E RIDGEWAY AV,REPORT INITIATED,425 E RIDGEWAY AV Waterloo Iowa,42.471221,-92.352119
3/11/13,15:50:34,ASSAULT,612 W 8TH ST,REFERRED OTHER DEPT,612 W 8TH ST Waterloo Iowa,42.488999,-92.339859
3/11/13,18:13:58,MVA HIT & RUN,1424 GRANT AV,REPORT INITIATED,1424 GRANT AV Waterloo Iowa,42.485422,-92.336589
3/11/13,18:53:57,MVA HIT & RUN,1400-BLK FOREST AV,REPORT INITIATED,1400-BLK FOREST AV Waterloo Iowa,42.482075,-92.337553
3/11/13,20:01:49,WEAPONS VIOLATIONS,E 4TH ST and ALMOND ST,B/F 15-30 INVEST-SR,E 4TH ST and ALMOND ST Waterloo Iowa,42.504612,-92.332715
3/12/13,1:33:00,WEAPONS VIOLATIONS,715 MULBERRY ST,REPORT INITIATED,715 MULBERRY ST Waterloo Iowa,42.499031,-92.332181
3/12/13,13:47:04,ASSAULT,1410 INDEPENDENCE AV,REPORT INITIATED,1410 INDEPENDENCE AV Waterloo Iowa,42.49652,-92.305381
3/12/13,20:12:31,ASSAULT,316 SUNNYSIDE AV,REPORT INITIATED,316 SUNNYSIDE AV Waterloo Iowa,42.494206,-92.352672
3/13/13,17:17:34,MVA HIT & RUN,W 18TH ST and COMMERCIAL ST,REFERRED WITHIN DEPT,W 18TH ST and COMMERCIAL ST Waterloo Iowa,42.485411,-92.325061
3/13/13,17:45:21,ASSAULT,243 PARK VIEW BLVD,WARNED & ADVISED,243 PARK VIEW BLVD Waterloo Iowa,42.479586,-92.353893
3/13/13,18:06:32,MVA HIT & RUN,BALTIMORE ST and MITCHELL AV,REPORT INITIATED,BALTIMORE ST and MITCHELL AV Waterloo Iowa,42.476658,-92.349783
3/13/13,18:20:14,ASSAULT,1509 W 3RD ST,REPORT INITIATED,1509 W 3RD ST Waterloo Iowa,42.486409,-92.356325
3/13/13,20:58:10,ASSAULT,517 STOKES DR,WARNED & ADVISED,517 STOKES DR Waterloo Iowa,42.515859,-92.327568
3/13/13,23:01:15,ASSAULT,127-3 LAFAYETTE ST,REPORT INITIATED,127-3 LAFAYETTE ST Waterloo Iowa,42.50577,-92.346458
3/14/13,15:35:08,MVA HIT & RUN,107 HOME PARK BLVD,REPORT INITIATED,107 HOME PARK BLVD Waterloo Iowa,42.485422,-92.356289
3/14/13,17:04:44,MVA HIT & RUN,1818 LA PORTE RD,REPORT INITIATED,1818 LA PORTE RD Waterloo Iowa,42.468154,-92.322312
3/14/13,23:31:54,ASSAULT,1214-2 E 4TH ST,REPORT INITIATED,1214-2 E 4TH ST Waterloo Iowa,42.497346,-92.337032
3/15/13,8:09:59,BURGLARY,3842 W AIRLINE HWY,REPORT INITIATED,3842 W AIRLINE HWY Waterloo Iowa,42.542454,-92.413341
3/15/13,14:32:58,ASSAULT,3024 SARATOGA DR,REPORT INITIATED,3024 SARATOGA DR Waterloo Iowa,42.465416,-92.353096
3/15/13,15:24:09,WEAPONS VIOLATIONS,1601 FRANKLIN ST,WARNED & ADVISED,1601 FRANKLIN ST Waterloo Iowa,42.495661,-92.322418
3/15/13,15:43:16,MVA HIT & RUN,729 WILLOW ST,REPORT INITIATED,729 WILLOW ST Waterloo Iowa,42.505842,-92.318824
3/15/13,16:11:23,WEAPONS VIOLATIONS,733 VINTON ST,WARNED & ADVISED,733 VINTON ST Waterloo Iowa,42.499437,-92.321125
3/16/13,1:36:26,ROBBERY,319 JEFFERSON ST,REPORT INITIATED,319 JEFFERSON ST Waterloo Iowa,42.496137,-92.343088
3/16/13,9:17:23,ASSAULT,402-1 ALLEN ST,REPORT INITIATED,402-1 ALLEN ST Waterloo Iowa,42.490334,-92.349216
3/16/13,11:07:20,ASSAULT,650 LA PORTE RD,REPORT INITIATED,650 LA PORTE RD Waterloo Iowa,42.479642,-92.323681
3/16/13,13:18:43,ASSAULT,5734 KNOLLVIEW DR,REPORT INITIATED,5734 KNOLLVIEW DR Waterloo Iowa,42.431808,-92.291536
3/16/13,14:28:53,MVA HIT & RUN,935 OREGON ST,INFO EXCHANGE,935 OREGON ST Waterloo Iowa,42.477165,-92.332276
3/16/13,16:10:21,ASSAULT,5712 DIAMOND DR,REPORT INITIATED,5712 DIAMOND DR Waterloo Iowa,42.430169,-92.292741
3/16/13,22:02:36,ASSAULT IN PROGRESS/JUST,1607 SYCAMORE ST,REPORT INITIATED,1607 SYCAMORE ST Waterloo Iowa,42.492184,-92.322553
3/17/13,1:04:50,BURGLARY,2428 KAISER CT,REPORT INITIATED,2428 KAISER CT Waterloo Iowa,42.475696,-92.37861
3/17/13,7:13:09,ASSAULT,416 CONGER ST,WARNED & ADVISED,416 CONGER ST Waterloo Iowa,42.512414,-92.343383
3/17/13,11:37:50,BURGLARY,807-C4 W 4TH ST,REPORT INITIATED,807-C4 W 4TH ST Waterloo Iowa,42.490234,-92.346082
3/17/13,15:26:26,ASSAULT,437 SULLIVAN AV,REPORT INITIATED,437 SULLIVAN AV Waterloo Iowa,42.487091,-92.35589
3/17/13,17:05:44,MVA HIT & RUN,ELM ST and FRANKLIN ST,REPORT INITIATED,ELM ST and FRANKLIN ST Waterloo Iowa,42.495415,-92.323876
3/18/13,0:38:23,ASSAULT IN PROGRESS/JUST,912 MULBERRY ST,REPORT INITIATED,912 MULBERRY ST Waterloo Iowa,42.497274,-92.330635
3/18/13,2:14:37,ASSAULT IN PROGRESS/JUST,1133-7 DIXON DR,CIVIL PROBLEM,1133-7 DIXON DR Waterloo Iowa,42.468736,-92.374398
3/18/13,2:24:42,ROBBERY IN PROGRESS/JUST,226 ELMWOOD ST,REPORT INITIATED,226 ELMWOOD ST Waterloo Iowa,42.491826,-92.355025
3/18/13,7:01:49,BURGLARY,820 OLYMPIC DR,REPORT INITIATED,820 OLYMPIC DR Waterloo Iowa,42.459964,-92.371867
3/18/13,11:51:10,BURGLARY,350 EUCLID AV,REPORT INITIATED,350 EUCLID AV Waterloo Iowa,42.487965,-92.364012
3/18/13,14:05:37,BURGLARY,1122 WELLINGTON ST,REPORT INITIATED,1122 WELLINGTON ST Waterloo Iowa,42.486316,-92.339762
3/18/13,14:08:40,MVA HIT & RUN,600-BLK E MULLAN AV,REPORT INITIATED,600-BLK E MULLAN AV Waterloo Iowa,42.508939,-92.336755
3/18/13,23:15:58,BURGLARY,3417 HUNTLEY LN,REPORT INITIATED,3417 HUNTLEY LN Waterloo Iowa,42.465262,-92.334908
3/19/13,7:50:50,BURGLARY IN PROGRESS/JUST,126-2 BROOKERIDGE DR,REPORT INITIATED,126-2 BROOKERIDGE DR Waterloo Iowa,42.459361,-92.358756
3/19/13,13:21:53,ASSAULT IN PROGRESS/JUST,408 LOCUST ST,REPORT INITIATED,408 LOCUST ST Waterloo Iowa,42.489549,-92.350077
3/19/13,16:38:32,MVA HIT & RUN,1217 RAVENWOOD RD,REPORT INITIATED,1217 RAVENWOOD RD Waterloo Iowa,42.463214,-92.340946
3/19/13,23:45:29,ASSAULT,315 THOMPSON AV,EXTRA ATTENTION,315 THOMPSON AV Waterloo Iowa,42.503769,-92.341062
3/20/13,0:39:22,ASSAULT,1524 W 2ND ST,EXTRA ATTENTION,1524 W 2ND ST Waterloo Iowa,42.488484,-92.359317
3/20/13,20:34:48,ASSAULT IN PROGRESS/JUST,40 W SAN MARNAN DR,REPORT INITIATED,40 W SAN MARNAN DR Waterloo Iowa,42.458533,-92.358176
3/20/13,23:18:22,ROBBERY IN PROGRESS/JUST,437 SULLIVAN AV,REPORT INITIATED,437 SULLIVAN AV Waterloo Iowa,42.487091,-92.35589
3/21/13,17:28:56,ASSAULT,820 W MULLAN AV,REPORT INITIATED,820 W MULLAN AV Waterloo Iowa,42.493515,-92.351633
3/21/13,20:59:09,ASSAULT IN PROGRESS/JUST,427 VERMONT ST,WARNED & ADVISED,427 VERMONT ST Waterloo Iowa,42.4868,-92.353791
3/21/13,22:30:52,ASSAULT,E 4TH ST and FRANKLIN ST,VERBAL WARNING,E 4TH ST and FRANKLIN ST Waterloo Iowa,42.500526,-92.333146
3/22/13,15:15:48,MVA HIT & RUN,HAWTHORNE AV and LA PORTE RD,REPORT INITIATED,HAWTHORNE AV and LA PORTE RD Waterloo Iowa,42.481308,-92.323594
3/22/13,17:02:36,ASSAULT,109 JEFFERSON ST,REPORT INITIATED,109 JEFFERSON ST Waterloo Iowa,42.497837,-92.345361
3/22/13,20:06:58,ASSAULT,3224-8 DARLENE CT,WARNED & ADVISED,3224-8 DARLENE CT Waterloo Iowa,42.465698,-92.35952
3/23/13,1:23:54,MVA HIT & RUN,920 BOURLAND AV,REPORT INITIATED,920 BOURLAND AV Waterloo Iowa,42.475486,-92.344606
3/23/13,1:51:36,ASSAULT,201 RATH ST,REPORT INITIATED,201 RATH ST Waterloo Iowa,42.490294,-92.320324
