date,times,crime,location,disposition
7/23/13,11:46:27,MVA HIT & RUN,525 BRANDILYNN BLVD,REPORT INITIATED
7/24/13,15:35:36,BURGLARY,2235-16 LINCOLN ST,EXTRA ATTENTION
7/25/13,11:33:15,MVA HIT & RUN,221 W 6TH ST,INFO EXCHANGE
7/26/13,20:53:17,MVA HIT & RUN,E SEERLEY BLVD and VALLEY PARK DR,REPORT INITIATED
7/28/13,4:52:23,ASSAULT,824 MAIN ST,REPORT INITIATED
