date,times,crime,location,disposition,location_geo,lat,long
1/24/13,12:22:18,ASSAULT,2214 COLLEGE ST,ASSISTED,2214 COLLEGE ST Cedar Falls Iowa,42.51726,-92.455453
1/24/13,17:49:21,MVA HIT & RUN,505 HOLMES DR,REPORT INITIATED,505 HOLMES DR Cedar Falls Iowa,42.534795,-92.471054
1/28/13,8:47:46,MVA HIT & RUN,522 W 18TH ST,REPORT INITIATED,522 W 18TH ST Cedar Falls Iowa,42.521912,-92.451871
1/28/13,15:24:22,MVA HIT & RUN,824 HUDSON RD,REPORT INITIATED,824 HUDSON RD Cedar Falls Iowa,42.530644,-92.464857
1/28/13,17:50:32,BURGLARY,2719 GREEN CREEK RD,REPORT INITIATED,2719 GREEN CREEK RD Cedar Falls Iowa,42.497987,-92.414836
1/30/13,8:14:18,MVA HIT & RUN,3915 SOUTH LAWN RD,REPORT INITIATED,3915 SOUTH LAWN RD Cedar Falls Iowa,42.502912,-92.439829
1/30/13,9:30:24,ASSAULT,GREENHILL RD and S MAIN ST,REPORT INITIATED,GREENHILL RD and S MAIN ST Cedar Falls Iowa,42.498528,-92.445846
1/30/13,17:14:33,MVA HIT & RUN,PANTHER LN and SPRING BROOK DR,REPORT INITIATED,PANTHER LN and SPRING BROOK DR Cedar Falls Iowa,42.505441,-92.461262
1/30/13,21:18:59,MVA HIT & RUN,4TH ST and MAIN ST,REPORT INITIATED,4TH ST and MAIN ST Cedar Falls Iowa,42.535036,-92.445574
1/31/13,0:49:57,MVA HIT & RUN,1622 WASHINGTON ST,INFO EXCHANGE,1622 WASHINGTON ST Cedar Falls Iowa,42.523265,-92.446478
1/31/13,12:38:40,MVA HIT & RUN,22ND ST and OLIVE ST,REPORT INITIATED,22ND ST and OLIVE ST Cedar Falls Iowa,42.517691,-92.45467
1/31/13,18:31:03,MVA HIT & RUN,2000-BLK COLLEGE ST,REPORT INITIATED,2000-BLK COLLEGE ST Cedar Falls Iowa,42.519718,-92.455738
2/1/13,14:14:17,MVA HIT & RUN,623 W 6TH ST,REPORT INITIATED,623 W 6TH ST Cedar Falls Iowa,42.533387,-92.453153
2/1/13,22:12:04,BURGLARY IN PROGRESS/JUST,2235-87 LINCOLN ST,REPORT INITIATED,2235-87 LINCOLN ST Cedar Falls Iowa,42.539889,-92.417065
2/2/13,16:02:24,MVA HIT & RUN,6301 UNIVERSITY AV,REPORT INITIATED,6301 UNIVERSITY AV Cedar Falls Iowa,42.511099,-92.435961
2/2/13,23:55:38,MVA HIT & RUN,22ND ST and IOWA ST,REPORT INITIATED,22ND ST and IOWA ST Cedar Falls Iowa,42.517709,-92.452102
2/3/13,21:58:11,MVA HIT & RUN,1003 CEDAR ST,INFO EXCHANGE,1003 CEDAR ST Cedar Falls Iowa,42.555564,-92.457281
2/6/13,13:50:14,ASSAULT,604 W 12TH ST,REPORT INITIATED,604 W 12TH ST Cedar Falls Iowa,42.527354,-92.452363
