"UNIVERSITY OF NORTHERN IOWA
DEPARTMENT OF PUBLIC SAFETY CRIME/FIRE LOG",,,,,
Case Number,Description,General Location,Date/Time Reported,Incident Occurrance Date/Time(s),Disposition
13-283,"Trespass, Liquor Law Violation - Assist",Off Campus,08/11/2013 0116,08/11/2013 0116,Closed
13-284,Vandalism,Campbell Hall,08/14/2013 0950,08/14/2013 0950,Open
13-288,Theft,Towers CP Lot,08/21/2013 1405,08/13/2013 1600 - 08/21/2013 1405,Open
13-289,Liquor Law Violation,Maucker Union,08/22/13 0159,08/22/2013 0159,Closed
13-290,Warrant - Assist,Off Campus,08/22/2013 1327,08/22/2013 1327,Closed
13-291,Fire,Gil G lot,08/22/2013 1916,08/22/2013 1916,Unfounded
13-293,Court Order Violation,Gilchrist,08/22/2013 2108,08/22/2013 2108,Open
13-294,Liquor Law Violation,Off Campus,08/23/2013 2348,08/23/2013 2348,Closed
13-295,Liquor Law Violation,Redeker,08/24/2013 0107,08/24/2013 0107,Closed
13-296,Liquor Law Violation,Off Campus,08/24/2013 0233,08/24/2013 0233,Closed
13-298,Solicitation ,Campbell Hall,08/24/2013 1613,08/24/2013 1613,Closed
13-299,Liquor Law Violation,Wellness Rec,08/24/2013 0124,08/24/2013 0124,Closed
13-300, Liquor Law Violation and Disorderly,Maucker Union,08/24/2013 0123,08/24/2013 0123,Closed
13-302,Burglary,Campbell Hall,08/24/2013 1530,08/24/2013 1530,Open
13-303,Vandalism,South Art Lot,08/26/2013 1037,08/26/2013 1037,Open
13-304,Theft,Bender Hall,08/26/2013 1551,08/24/2013 1200 - 08/26/2013 1551,Open
13-305,Trespass,Campbell Hall,08/26/2013 2318,08/26/2013 2318,Closed
13-306,Theft,Panther Village,08/27/2013 1058,08/27/2013 1058,Open
,Theft,Innovative Teaching and Technology Cntr,08/27/2013 1938,08/27/2013 1600-1900,Open
13-310,Assault,Dancer Hall,08/27/2013 2300,08/27/2013 2300,Open
13-312,Vandalism,Campbell Hall,08/28/13 1323,08/28/2013 1323,Open
13-313,Harassment,Bender Hall,08/28/2013 1945,08/28/2013 1945,Open
13-314,Theft,Lang Hall,08/29/2013 1945,08/28/2013 1400 - 08/28/2013 1515,Open
13-315,Theft,1200 Block 22nd St,08/29/2013 1121,08/28/2013 2100 - 08/29/2013 1100,Open
13-316,Fraud,Gilchrist Hall,08/29/2013 1347,08/29/2013 1347 - 08/29/2013 1403,Open
13-282,Child Pornography - Assist,Hillside Courts,08/08/2013 1220,05/12/2013 1200 - 06/08/2013 1200,Closed-Referred to CFPD
13-318,Liquor Law Violation,Campbell Hall,08/30/2013 0002,08/30/2013 0002,Closed
13-320,Fraud,Gilchrist Hall,08/30/2013 1630,08/30/2013 1550 - 08/30/2013 1628,Open
13-322,Vandalism,Gilchrist A Lot,08/31/2013 2002,08/29/2013 1400 - 08/31/2013 1000,Open
13-323,Traffic Criminal - Assist,Off Campus,08/31/2013 2136,08/31/2013 2136,Open
13-330,Liquor Law Violation,Off Campus,09/04/2013 2301,09/04/2013 2301,Closed
13-331,Harassment,Hagemann Hall,09/04/2013 2344,09/04/2013 2344,Closed
13-332,Assault - Assist,Off Campus,09/05/2013 1350,09/05/2013 1350,Closed
13-334,Theft,Bender hall,09/06/2013 1404,09/06/2013 1100 - 1400,Open
13-335,Liquor Law Violation,Off Campus,09/07/2013 0051,09/07/2013 0051,Closed
13-336,Liquor Law Violation,Price Lab South Lot,09/07/2013 0115,09/07/2013 0115,Closed
13-338,Incendiary Device,Redeker,09/08/2013 0020,09/08/2013 0020,Open
13-340,Robbery - Assist,Off Campus,09/08/2013 0244,09/08/2013 0244,Closed
13-341,Harassment,Shull Hall,09/08/2013 0344,09/08/2013 0344,Closed
13-342,Harassment,Dancer Hall,09/08/2013 1723,09/08/2013 1134 - 1158,Open
13-344,Theft,Dancer Hall,09/09/2013 0906,09/07/2013 1000 - 09/08/2013 1700,Closed
13-346,Theft,Dancer Hall,09/09/2013 1156,09/06/2013 1530 - 09/08/2013 1015,Open
13-349,Assault,Dancer Hall,09/10/2013 1825,09/10/2013 1720 - 09/10/2013 1745,Open
13-350,Warrant - Assist,Schindler Ed Center,09/11/2013 0922,09/11/2013 0922,Closed
13-351,Court Order Violation,Gilchrist Hall,,09/11/2013 1227,Open
13-352,Assault,Dancer Hall,,09/09/2013 2130,Open
13-355,Traffic Criminal,Off Campus,09/12/2013 2344,09/12/2013 2344,Closed
13-360,Sexual Assault/Burglary,Roth,09/15/2013 1021,09/15/2013 0230 - 09/15/2013 0900,Open
13-361,Court Order Violation,Gilchrist,09/17/2013 1104,09/17/2013 1100,Open
13-364,Theft,Lawther Hall,09/18/2013 1506,09/16/2013 1700 - 09/17/2013 0800,Open
13-365,Vandalism,2100 Block Merner Ave,09/18/2013 1604,09/18/2013 0200 - 09/18/2013 0700 ,Open
13-366,Theft,McCollum Science Hall,09/18/2013 2100,09/18/2013 1900 - 09/18/2013 2050 ,Open
13-367,Theft,1209 W 22ND,09/20/2013 0052,09/20/2013 0052,Open
13-371,Disorderly,Rider Hall,09/22/2013 0315,09/22/2013 0315,Open
13-373,Harassment,Baker Hall,09/23/2013 1250,,Open
13-374,Harassment,Sabin ,09/23/2013 1924,08/26/2013 0815 - 09/22/2013 2145,Open
13-375,Traffic Criminal,Off Campus,09/23/2013 2214,09/23/2013 2214,Closed
13-376,Vandalism,CET,09/26/2013 0911,09/26/2013 0911,Open
13-379,Traffic Criminal,Off Campus,09/27/2013 0149,09/27/2013 0149,Closed
13-380,Theft,Lang Hall,09/27/2013 0927,09/26/2013 0650 - 09/27/2013 0927 ,Open
13-381,Vandalism,Towers CP Lot,09/30/2013 0823,09/29/2013 1900 - 09/30/2013 0823,Open
13-382,Burglary / Fire,Price Lab South Lot,09/30/2013 0903,09/29/2013 2330 - 09/30/2013 0903,Open
13-383,Drug Law Violation,Off Campus,09/30/2013 2028,09/30/2013 2028,Unfounded
13-384,Theft,Library,10/01/2013 1239,05/01/2013 0001 - 10/01/2013 1239,Open
13-385,Vandalism,Russell Hall,10/01/2013 2112,10/01/2013,Open
13-386,Burglary,Dome,10/02/2013 1121,09/29/2013 2200 - 10/02/2013 1121,Open
13-387,Theft,Roth,10/02/2013 1207,10/02/2013 1207,Open
13-389,Traffic Criminal,Off Campus,10/02/2013 2210,10/02/2013 2210,Closed
13-390,Liquor Law Violation,North Dome Lot,10/03/2013 0313,10/03/2013 0313,Closed
13-391,Liquor Law Violation,Dancer Hall,10/04/2013 0225,10/04/2013 0225,Closed
13-392,Theft,Maucker Union,10/04/2013 1507,10/03/2013 1100 - 10/03/2013 1150,Closed
13-393,Burglary,Campbell Hall ,10/04/2013 1710,10/29/2013 1620 - 10/04/2013 1710,Open
13-394,Incendiary Device,Noerhern,10/04/2013 2102,,Open
13-396,Traffic Criminal,31st St. and Panther Parkway,10/05/2013 0048,10/05/2013 0048,Closed
13-399,Fire,E St,10/07/2013,1411,Unfounded
13-400,Theft,Roth,10/07/2013,10/04/2013 1730 - 10/07/2013 1657,Open
13-402,Traffic Criminal,Latham Field,10/08/2013 0828,10/07/2013 1200 - 10/07/2013 1830,Open
13-404,Traffic Criminal,Noehren Lot,10/05/2013 2148,10/05/2013 2148,Open
13-405,Theft,Roth Hall,10/09/2013 0821,10/28/2013 2300 - 10/09/2013 0750,Open
13-406,Theft,Redeker ,10/09/2013 1207,10/09/2013 1207,Open
13-408,Harassment,Industrial Technology Center,10/09/2013 1338,10/09/2013 1338,Open
13-409,Theft,Noehren Hall,10/09/2013 1909,10/07/2013 1230 -10/08/2013 0730,Open
13-410,Drug Law Violation,Soccer Field,10/09/2013 2211,10/09/2013 2211,closed
13-413,Assault,27th St and Minnesota St,10/11/2013 0026,10/11/2013 0026,Closed
13-415,Liquor Law Violation,Dancer Hall,10/11/2013 2324,10/11/2013 2324,Closed
13-416,Liquor Law Violation,Campbell Hall,10/12/2013 0016,10/12/2013 0016,Closed
13-417,Liquor Law Violation,Campanile,10/12/2013 0016,10/12/2013 0016,Open
13-418,Liquor Law Violation,Bartlett Hall,10/12/2013 0036,10/12/2013 0036,Closed
13-423,Liquor Law Violation,Dome Lot,10/12/2013 1446,10/12/2013 1446,Closed
14-424,Liquor Law Violation,Dome Lot,10/12/2013 1459,10/12/2013 1459,Closed
14-425,Liquor Law Violation,Dome Lot,10/12/2013 1516,10/12/20132 1516,Closed
13-426,Liquor Law Violation,Dome Lot,10/12/2013 1537,10/12/2013 1537,Closed
13-427,Assault,Dome Lot,10/12/2013 1543,10/12/2013 1543,Open
13-428,Liquor Law Violation,Minnesota St,10/12/2013 2137,10/12/2013 2137,Closed
13-429,Liquor Law Violation,Campbell B Lot,10/12/2013 2231,10/12/2013 2231,Closed
13-430,Traffic Criminal,Off Campus,10/12/2013 2324,10/12/2013 2324,Closed
13-432,Liquor Law Violation,Stayer Wood Theater,10/13/2013 0051,10/13/2013 0051,Closed
13-433,Liquor Law Violation,Performing Arts Center,10/13/2013 0054,10/13/2013 0054,Closed
13-434,"Liquor Law Violation, Vandalism - Assist",Off Campus,10/13/2013 0208,10/13/2013 0208,Closed
13-437,Theft,Panther Village lot,10/14/20131854,10/12/2013 2200 - 10/13/2013 1030,Open
