"UNIVERSITY OF NORTHERN IOWA
DEPARTMENT OF PUBLIC SAFETY CRIME/FIRE LOG",,,,,
Case Number,Description,General Location,Date/Time Reported,Incident Occurrance Date/Time(s),Disposition
14-049,Drug Law Violation,Noehren Hall,01/26/2014 0108,01/26/2014 0108,Open
14-050,Theft,Dancer Hall,01/26/2014 1731,01/24/2014 2200 - 01/24/2014 0000,Open
14-051,Drug Law Violation,Dancer Hall,01/26/2014 2130,01/26/2014 2130,Unfounded
14-052,Assault - Assist,Off Campus,01/27/2014 0344,01/27/2014 0344,Closed
CFS14000700,Drug Law Violation,Campbell Hall,01/27/2014 1431,01/27/2014 1431,Unfounded
14-054,Harassment  Assist - Harassment,Off Campus,01/28/2014 1433,01/28/2014 1433,Closed Referral   Unfounded
14-055,Drug Law Violation,Lawther Hall,01/29/2014 1841,01/29/2014 1841,Closed
14-060,Drug Law Violation,Noehren Hall,02/01/2014 0029,02/01/2014 0029,Open
14-061,Liquor Law Violation,Campus / Jennings,02/01/2014 0118,02/01/2014 0118,Closed
14-062,Liquor Law Violation,Dancer Hall,02/01/2014 0351,02/01/2014 0351,Closed
14-063,Traffic Criminal - Assist,Off Campus,02/01/2014 0845,02/01/2014 0845,Closed
14-064,Drug Law Violation,Bender Hall,02/01/2014 1939,02/01/2014 1939,Open
14-065,Liquor Law Violation,McLeod Center,02/01/2014 2029,02/01/2014 2029,Closed
14-066,Drug Law Violation,Bender Hall,02/01/2014 2251,02/01/2014 2251,Open
14-068,Drug Law Violation,Dancer Hall,02/02/2014 2219,02/02/2014 2219,Closed
14-069,Vandalism,McLeod Center lot,02/03/2014 1522,02/03/2014 1050 -02/03/2014 1500,Open
14-070,"Drug Law Violation, Liquor Law Violation",Bender Hall,02/03/2014 2210,02/03/2014 2210,Closed
14-073,Court Order Violation,Shull Hall,02/04/2014 1053,02/01/2014 0000 - 02/01/2014 2359,Open
14-076,Harassment,Bartlett Hall,02/05/2014 0858,02/04/2014 0930,Open
14-075,Drug Law Violation,Dancer Hall,02/04/2014 2244,02/04/2014 2244,Open
14-077,Fraud,Bender Hall,02/05/2014 1355,02/05/2014 1355,Open
14-079,Traffic Criminal,Campbell Lot,02/07/2014 1315,02/06/2014 0700 - 02/06/2014 1530,Open
14-080,"Liquor Law Violation, Interference with Official Acts, Assault",UNI-DOME,02/07/2014 2152,02/07/2014 2152,Closed
14-081,Liquor Law Violation,UNI-DOME,02/07/2014 2157,02/07/2014 2157,Closed
14-083,Liquor Law Violation,UNI-DOME,02/07/2014,02/07/2014 2014,Closed
14-088,Fraud,Noehren Hall,02/11/2014 1406,01/28/2014 0000 - 02/11/2014 1406,Open
14-090,Harassment,Off Campus,02/11/2014 1821,02/08/2014 2100 - 02/09/2014 0200,Open
14-091,Weapons Law Violation,Biological Reserve,02/13/2014 1154,02/13/2014 1154,Unfounded
14-094,Drug Law Violation,Noehren Hall,02/15/2014 1945,02/15/2014 1945,Open
CFS14001415,Drug Law Violation,Lawther Hall,02/16/2014 0341,02/16/2014 0341,Unfounded
14-093,Weapons Law Violation,E St,02/15/2014 0707,02/15/2014 0707,Unfounded
14-101,Drug Law Violation,Lawther Hall,02/18/2014 1458,02/18/2014 1458,Open
14-102,Vandalism,Bartlett A lot,02/19/2014 1207,02/19/2104 0800 - 1207,Open
14-104,Theft,Wellness Recreation ,02/19/2014 1506,01/25/2014 1700 - 02/03/2014 0745,Open
14-105,Vandalism,Lang Hall,02/19/2014 1651,02/19/2014 ,Open
14-107,Fraud,Unknown,02/20/2014 1147,02/01/2014 0001 - 02/20/2014 083,Open
14-108,Traffic Criminal,Off Campus,02/20/2014 1202,02/20/2014 1202 ,Closed
14-109,Fraud,Unknown,02/20/2014 1306,02/01/2014 0001 02/18/2014 ,Open
14-110,Fraud,Noehren Hall,02/20/2014 1405,02/20/2014 1405,Open
14-112,Fraud,Unknown,02/21/2014 1352,02/01/2014 0001 - 02/16/2014 1039,Open
14-114,Liquor Law Violation,Redeker Center,02/22/2014 0409,02/22/2014 0409,Closed
 14-116,Harassment,Rider Hall,02/24/2014 1030,02/23/2014 1605 - 02/23/2014 1743,Open
14-118,Fraud,Unknown,02/24/2014 1345,02/01/2014 0001- 02/24/2014 1345,Open
14-119,Fraud,Unknown,02/24/2014 1425,02/01/2014 0000 - ,Open
14-120,Fraud,Unknown,02/24/2014 1430,02/01/2014 0001 - 02/22/2014 1300,Open
14-121,Fraud,Unknown,02/24/2014 1425,02/01/2014 0001 -02/24/2014 1425,Open
14-122,Theft,Maucker Union,02/24/2014 1618,02/21/2014 1600 - 02/21/2014 2200,Open
CFS14001750,Drug Law Violation,Panther Village 3,02/24/2014 2207,02/24/2014 2207,Unfounded
14-123,Fraud,Unknown,02/25/2014 1030,02/01/2014 0001 - 02/24/2014 2000,Open
14-124,Fraud,Unknown,02/25/2014 1155,02/01/2014 0001 - 02/24/2014 1000,Open
14-125,Fraud,Unknown,02/25/2014 1205,02/01/2014 0001 - 02/22/2014 0900,Open
14-126,Fraud,Unknown,02/25/2014 1245,02/01/2014 0001 - 02/14/2014 0900,Open
14-127,Fraud,Unknown,02/25/2014 1325,02/01/2014 0001 - 02/25/2014 1400,Open
14-128,Fire,Jennings Drive,02/25/2014 1408,02/25/2014 1408,Unfounded
14-129,Fraud,Unknown,02/25/2014 1420,02/01/2014 0001 - 02/24/2014 2130,Open
14-130,Fraud,Unknown,02/25/2014 1425,02/01/2014 0001 - 02/19/2014 1300,Open
14-131,Fraud,Unknown,02/25/2014 1430,02/01/2014 0001 - 02/21/2014 1400,Open
14-133,Fraud,Unknown,02/27/2014 0735 ,02/01/2014 0001 - 02/26/2014 1400,Open
14-134,Fraud,Unknown,02/25/2014 1533,02/01/2014 0001 - 02/25/2014 1530,Open
14-135,Fraud - Assist,Unknown,02/25/2014 1543,02/01/2014 0001 - 02/22/2014 0852,Open Referral CFPD
14-136,Fraud,Unknown,02/25/2014 1554,02/01/2014 0001 - 02/09/2014 2249,Open
14-137,Fraud,Unknown,02/25/2014 1620,02/01/2014 0001 - 02/25/2014 1500,Open
14-138,Fraud,Unknown,02/25/2014 1704,02/01/2014 0001 - 02/25/2014 1600,Open
14-139,Fraud,Unknown,02/25/2014 1732,02/01/2014 0001 - 02/25/2014 1530,Open
14-140,Fraud,Unknown,02/25/2014 1733,02/01/2014 0001 - 02/25/2014 1545,Open
14-141,Fraud,Unknown,02/25/2014 1745,02/01/2014 0001 - 02/25/2014 1630,Open
14-142,Fraud,Unknown,02/26/2014 0903,02/01/2014 0001 - 02/25/2014 1620,Open
14-143,Fraud,Unknown,02/26/2014 0941,02/01/2014 0001 - 02/25/2014 1100,Open
14-144,Fraud,Unknown,02/26/2014 1015,02/01/2014 0001 -  02/25/2014 1745,Open
14-145,Fraud,Unknown,02/26/2014 1015,02/01/2014 0001 - 02/25/2014 1700,Open
14-146,Fraud,Unknown,02/26/2014 1046,02/01/2014 0001 - 02/25/2014 1500,Open
14-147,Fraud,Unknown,02/26/2014 1052,02/01/2014 0001 - 02/26/2014 0810,Open
14-148,Fraud,Unknown,02/26/2014 1101,02/01/2014 0001 - 02/26/2014 1105,Open
14-149,Fraud,Unknown,02/26/2014 1110,02/01/2014 0001 - 02/25/2014 1600,Open
14-150,Fraud,Unknown,02/26/2014 1114,02/01/2014 0001 - 02/26/2014 0730,Open
14-151,Fraud,Unknown,02/26/2014 1124,02/01/2014 0001 - 02/25/2014 1500,Open
14-152,Fraud,Unknown,02/26/2014 1134,02/01/2014 0001 - 02/25/2014 1634,Open
14-153,Fraud,Unknown,02/26/2014 1206,02/01/2014 0001 - 02/21/2014 0730,Open
14-154,Fraud,Unknown,02/26/2014 1245,02/01/2014 0001 - 02/19/2014 1654,Open
14-155,Fraud,Unknown,02/26/2014 1311,02/01/2014 0001 - 02/26/2014 1130,Open
14-156,Fraud,Unknown,02/26/2014 1312,02/01/2014 0001 - 02/25/2014 1500,Open
14-157,Fraud,Unknown,02/26/2014 1321,02/01/2014 0001 - 02/24/2014 1600,Open
14-158,Fraud - Assist,Unknown,02/26/2014 1322,02/01/2014 0001 - 02/25/2014 1700,Open - Referral WPD
14-159,Fraud,Unknown,02/26/2014 1328,02/01/2014 0001 - 02/26/2014 1000,Open
14-160,Fraud,Unknown,02/26/2014 1354,02/01/2014 0001 - 02/25/2014 1830,Open
14-161,Fraud,Unknown,02/26/2014 1402,02/01/2014 0001 - 02/25/2014 1530,Open
14-162,Fraud,Unknown,02/26/2014 1410,02/01/2014 0001 - 02/25/2014 1700,Open
14-163,Fraud,Unknown,02/26/2014 1432,02/01/2014 0001 - 02/26/2014 1300,Open
14-164,Fraud,Unknown,02/26/2014 1450,02/01/2014 0001 - 02/25/2014 1800,Open
14-165,Fraud,Unknown,02/26/2014 1506,02/01/2014 0001 - 02/01/2014 1200,Open
14-166,Fraud,Unknown,02/26/2014 1520,02/01/2014 0001 - 02/26/2014 1030,Open
14-167,Fraud,Unknown,02/26/2014 1546,02/01/2014 0001 - 02/26/2014 1400,Open
14-168,Fraud,Unknown,02/26/2014 1610,02/01/2014 0001 - 02/25/2014 1700,Open
14-169,Fraud,Unknown,02/26/2014 1611,02/01/2014 0001 - 02/26/2014 1000,Open
