"UNIVERSITY OF NORTHERN IOWA
DEPARTMENT OF PUBLIC SAFETY CRIME/FIRE LOG",,,,,
Case Number,Description,General Location,Date/Time Reported,Incident Occurrance Date/Time(s),Disposition
14-069,Vandalism,McLeod Center lot,02/03/2014 1522,02/03/2014 1050 -02/03/2014 1500,Open
14-073,Court Order Violation,Shull Hall,02/04/2014 1053,02/01/2014 0000 - 02/01/2014 2359,Open
14-076,Harassment,Bartlett Hall,02/05/2014 0858,02/04/2014 0930,Open
14-077,Fraud,Bender Hall,02/05/2014 1355,02/05/2014 1355,Open
14-079,Traffic Criminal,Campbell Lot,02/07/2014 1315,02/06/2014 0700 - 02/06/2014 1530,Open
14-080,"Liquor Law Violation, Interference with official acts, assault",",",02/07/2014 2152,02/07/2014 2152,Closed
14-081,Liquor Law Violation,UNI-DOME,02/07/2014 2157,02/07/2014 2157,Closed
14-083,Liquor Law Violation,UNI-DOME,2/7/14,02/07/2014 2014,Closed
14-088,Fraud,Noehren Hall,02/11/2014 1406,01/28/2014 0000 - 02/11/2014 1406,Open
14-090,Harassment,Off Campus,02/11/2014 1821,02/08/2014 2100 - 02/09/2014 0200,open
14-094,Drug Law Violation,Noehren Hall,02/15/2014 1945,02/15/2014 1945,Unfounded
CFS14001415,Drug Law Violation,Lawther Hall,02/16/2014 0341,02/16/2014 0341,Unfounded
14-093,Weapons Law Violation,E St,02/15/2014 0707,02/15/2014 0707,Unfounded
