date,times,crime,location,disposition,location_geo,lat,long
2013-01-23,16:38:24,LARCENY/THEFT/SHOPLIFTING,4428-1 ASHWORTH DR,REFERRED WITHIN DEPT,4428-1 ASHWORTH DR Cedar Falls Iowa,42.4946557,-92.4596913
2013-01-23,10:42:39,LARCENY/THEFT/SHOPLIFTING,5818 NORDIC DR,REPORT INITIATED,5818 NORDIC DR Cedar Falls Iowa,42.485152,-92.446862
2013-01-24,12:22:18,ASSAULT,2214 COLLEGE ST,ASSISTED,2214 COLLEGE ST Cedar Falls Iowa,42.51726,-92.455453
2013-01-24,11:12:24,LARCENY/THEFT/SHOPLIFTING,2223-.5 COLLEGE ST,REPORT INITIATED,2223-.5 COLLEGE ST Cedar Falls Iowa,42.517066,-92.456158
2013-01-25,15:18:49,LARCENY/THEFT/SHOPLIFTING,7511 UNIVERSITY AV,REPORT INITIATED,7511 UNIVERSITY AV Cedar Falls Iowa,42.5130239,-92.4485044
2013-01-25,5:33:51,LARCENY/THEFT/SHOPLIFTING,3215-5 TERRACE DR,REPORT INITIATED,3215-5 TERRACE DR Cedar Falls Iowa,42.5091034,-92.4096181
2013-01-26,8:07:34,LARCENY/THEFT/SHOPLIFTING,4203 LEGACY LN,REPORT INITIATED,4203 LEGACY LN Cedar Falls Iowa,42.5006676,-92.4132572
2013-01-28,14:53:35,LARCENY/THEFT/SHOPLIFTING,302 MAIN ST,ASSISTED,302 MAIN ST Cedar Falls Iowa,42.535725,-92.445122
2013-01-28,17:50:32,BURGLARY,2719 GREEN CREEK RD,REPORT INITIATED,2719 GREEN CREEK RD Cedar Falls Iowa,42.4978067,-92.4148956
2013-01-28,18:13:07,LARCENY/THEFT/SHOPLIFTING,1420 W 1ST ST,REPORT INITIATED,1420 W 1ST ST Cedar Falls Iowa,42.537539,-92.462828
2013-01-29,20:40:31,LARCENY/THEFT/SHOPLIFTING,2218-.5 COLLEGE ST,REPORT INITIATED,2218-.5 COLLEGE ST Cedar Falls Iowa,42.517139,-92.455453
2013-01-29,22:31:42,LARCENY/THEFT/SHOPLIFTING,2019 COLLEGE ST,REPORT INITIATED,2019 COLLEGE ST Cedar Falls Iowa,42.51893,-92.456235
2013-01-30,9:30:24,ASSAULT,GREENHILL RD and S MAIN ST,REPORT INITIATED,GREENHILL RD and S MAIN ST Cedar Falls Iowa,42.498598,-92.4458515
2013-01-30,22:43:03,LARCENY/THEFT/SHOPLIFTING,1235 W 19TH ST,REPORT INITIATED,1235 W 19TH ST Cedar Falls Iowa,42.521627,-92.460455
